id,clubId,name,age,bornDate,url
4233,107,Carlos Eduardo,22,10/08/2002,https://www.transfermarkt.es/carlos-eduardo/profil/spieler/927714
4234,107,Jorge Aguirre,25,05/01/2000,https://www.transfermarkt.es/jorge-aguirre/profil/spieler/629385
4235,107,Depú,25,08/01/2000,https://www.transfermarkt.es/depu/profil/spieler/885694
4236,107,João Pinto,22,31/08/2002,https://www.transfermarkt.es/joao-pinto/profil/spieler/927627
4237,108,Kewin,30,25/01/1995,https://www.transfermarkt.es/kewin/profil/spieler/669219
4238,108,Caio Secco,34,22/12/1990,https://www.transfermarkt.es/caio-secco/profil/spieler/175188
4239,108,Mika,34,08/03/1991,https://www.transfermarkt.es/mika/profil/spieler/138285
4240,108,Maracás,31,27/04/1994,https://www.transfermarkt.es/maracas/profil/spieler/373187
4241,108,Michel,22,20/05/2003,https://www.transfermarkt.es/michel/profil/spieler/887834
4242,108,Ponck,30,13/01/1995,https://www.transfermarkt.es/ponck/profil/spieler/341516
4243,108,Gilberto Batista,21,29/12/2003,https://www.transfermarkt.es/gilberto-batista/profil/spieler/816572
4244,108,Marcelo ,35,27/07/1989,https://www.transfermarkt.es/marcelo/profil/spieler/190185
4245,108,Godfried Frimpong,26,21/04/1999,https://www.transfermarkt.es/godfried-frimpong/profil/spieler/364244
4246,108,Leonardo Buta,23,05/06/2002,https://www.transfermarkt.es/leonardo-buta/profil/spieler/653415
4247,108,Fabiano,25,14/03/2000,https://www.transfermarkt.es/fabiano/profil/spieler/657387
4248,108,Dinis Pinto,24,24/08/2000,https://www.transfermarkt.es/dinis-pinto/profil/spieler/663254
4249,108,Dani Morer,27,05/02/1998,https://www.transfermarkt.es/dani-morer/profil/spieler/282726
4250,108,Ismael,26,25/03/1999,https://www.transfermarkt.es/ismael/profil/spieler/468332
4251,108,Guilherme Liberato,24,16/06/2001,https://www.transfermarkt.es/guilherme-liberato/profil/spieler/739442
4252,108,Afonso Assis,18,15/07/2006,https://www.transfermarkt.es/afonso-assis/profil/spieler/1365020
